"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Goshen College",41.5643,-85.8268,"Goshen",13,28500.0,28500.0,2,"www.goshen.edu",0.703,0.7679,0.5506,20857.0,8100.0,18200.0,41000.0,55500.0,0.924051,0.950119,0.905172,0.931579
"Goucher College",39.4102,-76.5948,"Baltimore",13,39084.0,39084.0,2,"WWW.GOUCHER.EDU",0.6792,0.8537,0.7173,25000.0,7800.0,15300.0,43500.0,53500.0,0.911905,0.906459,0.949657,0.954286
"Grace College and Theological Seminary",41.2265,-85.8139,"Winona Lake",32,23970.0,23970.0,2,"www.grace.edu",0.6053,0.7674,0.7884,22700.0,8000.0,15300.0,37000.0,48700.0,0.934685,0.948454,0.934473,0.927928
"Grace University",41.2447,-95.9279,"Omaha",11,18256.0,18256.0,2,"www.GraceUniversity.edu",0.5244,0.7183,0.5846,19500.0,2900.0,10700.0,30900.0,41200.0,0.892157,0.886256,0.881081,0.922535
"Grand Valley State University",42.9652,-85.8875,"Allendale",21,10716.0,15388.0,1,"www.gvsu.edu",0.695,0.8165,0.826,26500.0,11100.0,20400.0,45300.0,58000.0,0.852557,0.880743,0.895478,0.920097
"Greenville College",38.8948,-89.4092,"Greenville",32,23612.0,23612.0,2,"www.greenville.edu",0.5049,0.729,0.657,24550.0,6800.0,15600.0,37600.0,52500.0,0.855297,0.879331,0.87973,0.914005
"Grinnell College",41.747,-92.7212,"Grinnell",33,43656.0,43656.0,2,"www.grinnell.edu",0.8568,0.9324,0.3506,10775.0,6100.0,15700.0,42400.0,57900.0,0.959375,0.970414,0.946429,0.964467
"Guilford College",36.0926,-79.8888,"Greensboro",11,32470.0,32470.0,2,"www.guilford.edu",0.5676,0.718,0.6818,27325.0,6600.0,15100.0,39500.0,54200.0,0.728405,0.757002,0.738715,0.788743
"Gustavus Adolphus College",44.325,-93.9719,"Saint Peter",31,39120.0,39120.0,2,"WWW.GUSTAVUS.EDU",0.8228,0.9205,0.6322,27000.0,12600.0,24400.0,50700.0,63500.0,0.94176,0.945915,0.967254,0.976443
"Gwynedd Mercy University",40.1976,-75.2381,"Gwynedd Valley",21,29450.0,29450.0,2,"www.gmc.edu",0.6598,0.8222,0.6591,26000.0,16300.0,28000.0,63600.0,78200.0,0.850587,0.837728,0.888412,0.921891
