"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Ridley-Lowell Business & Technical Institute-Binghamton",42.0999,-75.9169,"Binghamton",13,0.0,0.0,3,"www.ridley.edu",0.0,0.0,0.0,9500.0,3400.0,11600.0,34700.0,42200.0,0.522876,0.416928,0.44385,0.524272
"Ridley-Lowell Business & Technical Institute-Danbury",41.3903,-73.4295,"Danbury",13,0.0,0.0,3,"www.ridley.edu",0.0,0.0,0.0,10640.0,1800.0,8000.0,31100.0,40600.0,0.582317,0.515065,0.442177,0.487705
"Ridley-Lowell Business & Technical Institute-New London",41.3499,-72.1005,"New London",13,0.0,0.0,3,"www.ridley.edu",0.0,0.0,0.0,10640.0,1800.0,8000.0,31100.0,40600.0,0.582317,0.515065,0.442177,0.487705
"Ridley-Lowell Business & Technical Institute-Poughkeepsie",41.7006,-73.924,"Poughkeepsie",21,0.0,0.0,3,"www.ridley.edu",0.0,0.0,0.0,10640.0,1800.0,8000.0,31100.0,40600.0,0.582317,0.515065,0.442177,0.487705
"Ringling College of Art and Design",27.3596,-82.5486,"Sarasota",13,38540.0,38540.0,2,"www.ringling.edu",0.6495,0.7788,0.7331,27000.0,8300.0,15300.0,43800.0,67900.0,0.814141,0.792564,0.806167,0.853862
"Rio Hondo College",34.0199,-118.033,"Whittier",21,1178.0,5738.0,1,"www.riohondo.edu",0.0,0.0,0.0,7500.0,5200.0,12900.0,38700.0,58700.0,0.605341,0.560109,0.639831,0.660622
"Rio Salado College",33.4131,-111.975,"Tempe",12,1974.0,7758.0,1,"www.rio.maricopa.edu",0.0,0.0,0.0,15000.0,6300.0,17700.0,48100.0,67200.0,0.339157,0.368597,0.503765,0.647541
"Ripon College",43.8424,-88.8426,"Ripon",32,31604.0,31604.0,2,"www.ripon.edu",0.7405,0.8627,0.7515,27000.0,10400.0,19800.0,40600.0,50500.0,0.919355,0.899038,0.925595,0.945824
"River Parishes Community College",30.1759,-90.8749,"Sorrento",41,3232.0,6915.0,1,"www.rpcc.edu",0.0,0.0,0.0,10500.0,5000.0,14700.0,43300.0,59900.0,0.476526,0.510158,0.504918,0.628743
"River Valley Community College",43.3994,-72.3333,"Claremont",41,7175.0,15751.0,1,"www.rivervalley.edu",0.0,0.0,0.0,17985.0,0.0,0.0,0.0,0.0,0.703883,0.709459,0.765537,0.765957
"Riverland Community College",43.6768,-93.0011,"Austin",32,5522.0,5522.0,1,"www.riverland.edu",0.0,0.0,0.0,0.0,6400.0,16100.0,38700.0,52400.0,0.651515,0.624085,0.691674,0.780029
"Riverside City College",33.9715,-117.381,"Riverside",11,1426.0,7126.0,1,"www.rcc.edu/riverside/",0.0,0.0,0.0,6875.0,4100.0,11800.0,37100.0,54900.0,0.628285,0.587413,0.650295,0.645105
"Riverside County Office of Education",0.0,0.0,"Riverside",11,0.0,0.0,1,"www.riversidesce.org",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Riverside School of Health Careers",37.0352,-76.4563,"Newport News",12,0.0,0.0,2,"www.riversideonline.com/rshc/",0.0,0.0,0.0385,13667.0,15500.0,32100.0,56700.0,68600.0,0.863014,0.830435,0.809322,0.865385
"Rivertown School of Beauty Barber Skin Care and Nails",32.5095,-84.9708,"Columbus",12,0.0,0.0,3,"rivertownschoolofbeauty.com",0.0,0.0,0.0,5500.0,2800.0,7400.0,22900.0,30200.0,0.555556,0.406452,0.358209,0.5
"Rivier University",42.7383,-71.4555,"Nashua",13,28055.0,28055.0,2,"www.rivier.edu",0.5907,0.7661,0.8928,27000.0,12900.0,24800.0,56000.0,69700.0,0.888386,0.886457,0.889952,0.893466
"Rizzieri Aveda School for Beauty and Wellness",39.8493,-75.0023,"Voorhees",21,0.0,0.0,3,"www.rizzierischools.com",0.0,0.0,0.0,5500.0,3500.0,10800.0,32800.0,45400.0,0.836667,0.762376,0.813953,0.797688
"Rizzieri Institute",0.0,0.0,"Voorhees",21,0.0,0.0,3,"www.rizzierischoolofmassage.com",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Roane State Community College",35.8813,-84.6208,"Harriman",32,3621.0,14061.0,1,"www.roanestate.edu",0.0,0.0,0.9922,11236.0,5400.0,13400.0,35900.0,49900.0,0.612009,0.637219,0.644248,0.674009
"Roane-Jackson Technical Center",38.8221,-81.5611,"Leroy",42,0.0,0.0,1,"www.roane-jacksontechnicalcenter.com/",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Roanoke College",37.2969,-80.0564,"Salem",22,36597.0,36597.0,2,"www.roanoke.edu",0.6425,0.8048,0.7281,27000.0,9700.0,21400.0,46200.0,57700.0,0.889049,0.891688,0.930423,0.933168
"Roanoke-Chowan Community College",36.3235,-77.025,"Ahoskie",41,2389.0,8533.0,1,"www.roanokechowan.edu",0.0,0.0,0.0,4175.0,3600.0,10600.0,29400.0,41400.0,0.0,0.0,0.0,0.604167
"Rob Roy Academy - Woonsocket",0.0,0.0,"Woonsocket",0,0.0,0.0,3,"http://www.rob-roy.com",0.0,0.0,0.0,7300.0,2500.0,7100.0,24400.0,34600.0,0.5,0.357771,0.43318,0.570093
"Rob Roy Academy-Fall River",41.6988,-71.1579,"Fall River",21,0.0,0.0,3,"www.rob-roy.com",0.0,0.0,0.0,8582.0,1400.0,8700.0,24200.0,34100.0,0.466667,0.347222,0.335196,0.45
"Rob Roy Academy-New Bedford",41.6719,-70.9252,"New Bedford",22,0.0,0.0,3,"www.rob-roy.com",0.0,0.0,0.0,9500.0,0.0,0.0,0.0,0.0,0.705882,0.441176,0.456522,0.454545
"Rob Roy Academy-Taunton",41.9019,-71.0919,"Taunton",21,0.0,0.0,3,"www.rob-roy.com",0.0,0.0,0.0,7052.5,0.0,0.0,0.0,0.0,0.658824,0.494382,0.393939,0.617021
"Rob Roy Academy-Worcester",42.2638,-71.8076,"Worcester",12,0.0,0.0,3,"www.rob-roy.com",0.0,0.0,0.0,7300.0,2500.0,7100.0,24400.0,34600.0,0.5,0.357771,0.43318,0.570093
"Robert Fiance Beauty Schools-North Plainfield",40.6225,-74.427,"North Plainfield",21,0.0,0.0,3,"www.robertfiance.com",0.0,0.0,0.0,7846.0,0.0,0.0,0.0,0.0,0.578571,0.530201,0.485437,0.411765
"Robert Fiance Beauty Schools-Perth Amboy",40.5089,-74.2673,"Perth Amboy",21,0.0,0.0,3,"www.robertfiance.com",0.0,0.0,0.0,9500.0,2400.0,8500.0,23300.0,34800.0,0.697674,0.614679,0.558442,0.586735
"Robert Fiance Beauty Schools-West New York",40.7859,-74.018,"West New York",21,0.0,0.0,3,"www.robertfiance.com",0.0,0.0,0.0,8268.0,1700.0,7600.0,23200.0,34200.0,0.694444,0.628692,0.660714,0.675676
"Robert Morgan Educational Center",25.5991,-80.3904,"Miami",21,0.0,0.0,1,"rmec.dadeschools.net",0.0,0.0,0.0,0.0,4800.0,13500.0,36600.0,47500.0,0.0,0.0,0.0,0.0
"Robert Morris University",40.5211,-80.2118,"Moon Township",21,25114.0,25114.0,2,"www.rmu.edu",0.5587,0.8054,0.8051,27000.0,13000.0,23800.0,50200.0,63600.0,0.869841,0.874684,0.890319,0.900488
"Robert Morris University Illinois",41.8763,-87.6271,"Chicago",11,22800.0,22800.0,2,"www.robertmorris.edu/",0.4608,0.4722,0.21,24487.0,5900.0,14300.0,39300.0,54100.0,0.657943,0.626354,0.619565,0.679992
"Robert Paul Academy of Cosmetology Arts & Sciences",39.4311,-76.6219,"Timonium",21,0.0,0.0,3,"www.robertpaulacademy.com",0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,0.817073,0.792683,0.677778,0.848837
"Roberto-Venn School of Luthiery",33.4547,-112.086,"Phoenix",11,0.0,0.0,3,"www.roberto-venn.com",0.0,0.0,0.0,7307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.784314
