,LATITUDE,LONGITUDE,CITY,LOCALE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,INSTURL,C150_4,RET_FT4,ADM_RATE,GRAD_DEBT_MDN,pct10_earn_wne_p6,pct25_earn_wne_p6,pct75_earn_wne_p6,pct90_earn_wne_p6,RPY_1YR_RT,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT
Jacksonville State University,33.8221,-85.7666,Jacksonville,13,7092,13884,1,www.jsu.edu/,0.3083,0.7112,0.8326,23500,7000,16000,39800,53800,0.6276267,0.627607888,0.636780798,0.741169486
Jefferson Davis Community College,31.102,-87.0858,Brewton,32,3908,7238,1,www.jdcc.edu,NULL,NULL,NULL,NULL,4900,12400,35000,50900,NULL,NULL,NULL,NULL
Jefferson State Community College,33.6524,-86.7074,Birmingham,12,4260,7590,1,www.jeffstateonline.com,NULL,NULL,NULL,10000,5100,13400,37500,49400,0.631804281,0.622807018,0.68487395,0.708667737
John C Calhoun State Community College,34.6543,-86.9491,Tanner,41,4140,7410,1,www.calhoun.edu,NULL,NULL,NULL,9940,4800,12100,36200,51600,0.539425799,0.543043812,0.616318601,0.64
Judson College,32.6305,-87.3161,Marion,43,15630,15630,2,www.judson.edu,0.4051,0.5974,0.7388,26000,3100,9900,29000,38500,0.795620438,0.718120805,0.721518987,0.802083333
Lawson State Community College-Birmingham Campus,33.4517,-86.8902,Birmingham,12,4230,7590,1,www.lawsonstate.edu,NULL,NULL,NULL,NULL,4600,11400,29700,42600,NULL,NULL,NULL,NULL
University of West Alabama,32.5924,-88.1861,Livingston,43,7660,14170,1,www.uwa.edu,0.3161,0.5781,0.9957,22500,8200,17100,42500,58500,0.500927644,0.543230016,0.552380952,0.715517241
Lurleen B Wallace Community College,31.3229,-86.4523,Andalusia,41,4170,7500,1,www.lbwcc.edu,NULL,NULL,NULL,NULL,4300,11900,33800,46600,NULL,NULL,NULL,NULL
Marion Military Institute,32.6224,-87.318,Marion,43,8570,14570,1,www.marionmilitary.edu,NULL,NULL,0.6034,11500,6000,15600,42800,54700,0.584269663,0.606217617,0.644067797,0.71875
Miles College,33.4813,-86.9086,Fairfield,21,11454,11454,2,www.miles.edu,0.216,0.5476,NULL,36569,3700,10200,30400,41300,0.190194421,0.216788916,0.288987435,0.402330363
