"school","state_code"
"Franciscan University of Steubenville",39
"Ursuline College",39
"Walsh University",39
"Wittenberg University",39
"The College of Wooster",39
"Xavier University",39
"Oklahoma Wesleyan University",40
"Hillsdale Free Will Baptist College",40
"Oklahoma State University-Main Campus",40
"Oklahoma Baptist University",40
"Oklahoma City University",40
"University of Oklahoma-Norman Campus",40
"Oral Roberts University",40
"University of Tulsa",40
"Concordia University-Portland",41
"George Fox University",41
"Lewis & Clark College",41
"Linfield College-McMinnville Campus",41
"Oregon State University",41
"University of Oregon",41
"Pacific University",41
"University of Portland",41
"Reed College",41
"Corban University",41
"Willamette University",41
"Albright College",42
"Allegheny College",42
"DeSales University",42
"Alvernia University",42
"Arcadia University",42
"Bloomsburg University of Pennsylvania",42
"Bryn Mawr College",42
"Carlow University",42
"Carnegie Mellon University",42
"Cedar Crest College",42
"Chatham University",42
"Clarion University of Pennsylvania",42
"Delaware Valley College",42
"Dickinson College",42
"Drexel University",42
"Duquesne University",42
"East Stroudsburg University of Pennsylvania",42
"Eastern University",42
"Elizabethtown College",42
"Franklin and Marshall College",42
"Gannon University",42
"Geneva College",42
"Gettysburg College",42
"Gwynedd Mercy University",42
"Holy Family University",42
"Indiana University of Pennsylvania-Main Campus",42
"Juniata College",42
"King's College",42
"Kutztown University of Pennsylvania",42
"La Salle University",42
"Lancaster Bible College",42
"Lebanon Valley College",42
"Lehigh University",42
"Lycoming College",42
"Marywood University",42
"Mercyhurst University",42
"Messiah College",42
"Millersville University of Pennsylvania",42
"Misericordia University",42
"Moore College of Art and Design",42
"Moravian College",42
"Muhlenberg College",42
"Neumann University",42
"Pennsylvania State University-Penn State Erie-Behrend College",42
"Pennsylvania State University-Penn State New Kensington",42
"Pennsylvania State University-Penn State Wilkes-Barre",42
"Pennsylvania State University-Penn State Lehigh Valley",42
"Pennsylvania State University-Penn State Altoona",42
"Pennsylvania State University-Penn State Berks",42
"Pennsylvania State University-Penn State Harrisburg",42
"Pennsylvania State University-Penn State Dubois",42
"Pennsylvania State University-Penn State Hazleton",42
"Pennsylvania State University-Main Campus",42
"Pennsylvania State University-Penn State Mont Alto",42
"Pennsylvania College of Art and Design",42
"University of Pennsylvania",42
"Philadelphia University",42
"The University of the Arts",42
"Cairn University-Langhorne",42
"University of the Sciences",42
"University of Pittsburgh-Bradford",42
"University of Pittsburgh-Greensburg",42
"University of Pittsburgh-Johnstown",42
"University of Pittsburgh-Pittsburgh Campus",42
"Robert Morris University",42
"Saint Joseph's University",42
"Saint Vincent College",42
"University of Scranton",42
"Seton Hill University",42
"Shippensburg University of Pennsylvania",42
"Slippery Rock University of Pennsylvania",42
"Susquehanna University",42
"Temple University",42
"Ursinus College",42
"Villanova University",42
"Washington & Jefferson College",42
"Waynesburg University",42
"West Chester University of Pennsylvania",42
"Westminster College",42
"Widener University-Main Campus",42
"Wilkes University",42
"Wilson College",42
"York College Pennsylvania",42
"Brown University",44
"Bryant University",44
"Johnson & Wales University-Providence",44
"Providence College",44
"University of Rhode Island",44
"Rhode Island School of Design",44
"Roger Williams University",44
"Salve Regina University",44
"Anderson University",45
"College of Charleston",45
"Citadel Military College of South Carolina",45
"Clemson University",45
"Columbia International University",45
"Converse College",45
"Erskine College",45
"Furman University",45
"Lander University",45
"North Greenville University",45
"Presbyterian College",45
"University of South Carolina-Columbia",45
"Winthrop University",45
"Augustana College",46
"Mount Marty College",46
"South Dakota State University",46
"University of South Dakota",46
"Aquinas College",47
"Belmont University",47
"Bethel University",47
"Bryan College-Dayton",47
"Christian Brothers University",47
"Lipscomb University",47
"Fisk University",47
"Freed-Hardeman University",47
"Johnson University",47
"King University",47
"Lee University",47
"Lincoln Memorial University",47
"Maryville College",47
"Milligan College",47
"Rhodes College",47
"Sewanee-The University of the South",47
"Southern Adventist University",47
"The University of Tennessee-Knoxville",47
"Tennessee Technological University",47
"Union University",47
"Vanderbilt University",47
"Abilene Christian University",48
"Austin College",48
"Baylor University",48
"Remington College-Dallas Campus",48
"Dallas Baptist University",48
"University of Dallas",48
"Hardin-Simmons University",48
"LeTourneau University",48
"Rice University",48
"Saint Edward's University",48
"University of St Thomas",48
"Sam Houston State University",48
"St Mary's University",48
"Southern Methodist University",48
"Southwestern University",48
"Texas State University",48
"Texas A & M University-College Station",48
"The University of Texas at Austin",48
"The University of Texas at Dallas",48
"Texas Christian University",48
"Texas Lutheran University",48
"Texas Tech University",48
"Trinity University",48
"Brigham Young University-Provo",49
"Southern Utah University",49
"Utah State University",49
"University of Utah",49
"Westminster College",49
"Bennington College",50
"Castleton State College",50
"Champlain College",50
"Marlboro College",50
"Norwich University",50
"Saint Michael's College",50
"University of Vermont",50
"Bridgewater College",51
"College of William and Mary",51
"Regent University",51
"Christopher Newport University",51
"Eastern Mennonite University",51
"George Mason University",51
"Hampden-Sydney College",51
"Hampton University",51
"Hollins University",51
"James Madison University",51
"Liberty University",51
"Longwood University",51
"Lynchburg College",51
"University of Mary Washington",51
"Marymount University",51
"Old Dominion University",51
"Radford University",51
"Randolph-Macon College",51
"Randolph College",51
"University of Richmond",51
"Roanoke College",51
"Sweet Briar College",51
"Virginia Polytechnic Institute and State University",51
"Virginia Commonwealth University",51
"University of Virginia-Main Campus",51
"Virginia Military Institute",51
"Central Washington University",53
"The Evergreen State College",53
"Gonzaga University",53
"Pacific Lutheran University",53
"University of Puget Sound",53
"Seattle Pacific University",53
"Seattle University",53
"Washington State University",53
"University of Washington-Seattle Campus",53
"Western Washington University",53
"Whitworth University",53
"West Virginia Wesleyan College",54
"West Virginia University",54
"Wheeling Jesuit University",54
"Beloit College",55
"Carroll University",55
"Carthage College",55
"Concordia University-Wisconsin",55
"Edgewood College",55
"Lakeland College",55
"Lawrence University",55
"Marian University",55
"Marquette University",55
"Milwaukee Institute of Art & Design",55
"Milwaukee School of Engineering",55
"Northland College",55
"Ripon College",55
"University of Wisconsin-Whitewater",55
"University of Wisconsin-Eau Claire",55
"University of Wisconsin-La Crosse",55
"Wisconsin Lutheran College",55
"University of Wisconsin-Oshkosh",55
"University of Wisconsin-Stout",55
"University of Wisconsin-Madison",55
"University of Wisconsin-Platteville",55
"University of Wisconsin-River Falls",55
"University of Wisconsin-Stevens Point",55
"Stanford University",6
"Purdue University-Main Campus",18
"St John's College",35
"Nossi College of Art",47
"University of Washington-Bothell Campus",53
"King's College",37
"Everglades University",12
"Herzing University-Winter Park",12
"Embry-Riddle Aeronautical University-Worldwide",12
"University of Connecticut-Tri-Campus",9
"University of Connecticut-Stamford",9
"Johnson & Wales University-Denver",8
"California State University-Channel Islands",6
"DigiPen Institute of Technology",53
"Neumont University",49
"Johnson & Wales University-Charlotte",37
