"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"University of Portland",45.5718,-122.727,"Portland",11,38670.0,38670.0,2,"www.up.edu",0.755,0.9002,0.668,25000.0,16600.0,29800.0,66900.0,84200.0,0.95942,0.966942,0.948521,0.971243
"University of Puget Sound",47.2637,-122.48,"Tacoma",12,41868.0,41868.0,2,"www.pugetsound.edu",0.7816,0.8669,0.8522,23500.0,10500.0,22000.0,48900.0,68200.0,0.932927,0.941447,0.961696,0.968119
"University of Redlands",34.0636,-117.164,"Redlands",13,41290.0,41290.0,2,"www.redlands.edu",0.7295,0.884,0.672,27000.0,11000.0,23200.0,57200.0,71700.0,0.891383,0.91319,0.921366,0.951724
"University of Rhode Island",41.4816,-71.5311,"Kingston",21,12450.0,28016.0,1,"www.uri.edu/",0.6344,0.8128,0.7871,23250.0,11200.0,22900.0,52600.0,70400.0,0.843266,0.869993,0.883409,0.908441
"University of Richmond",37.5776,-77.5387,"University of Richmond",12,45320.0,45320.0,2,"www.richmond.edu",0.8502,0.9373,0.3116,19500.0,14800.0,30800.0,65300.0,89300.0,0.87801,0.906977,0.93646,0.965957
"University of Rochester",43.1266,-77.6316,"Rochester",12,45372.0,45372.0,2,"www.rochester.edu",0.8518,0.9605,0.3568,26000.0,11400.0,23700.0,61900.0,80600.0,0.917085,0.925019,0.936015,0.961039
"University of Saint Francis-Fort Wayne",41.0878,-85.1737,"Fort Wayne",11,25180.0,25180.0,2,"www.sf.edu",0.5356,0.6991,0.5362,26000.0,11900.0,23400.0,45400.0,57100.0,0.829615,0.870387,0.779429,0.885956
"University of Saint Joseph",41.783,-72.7305,"West Hartford",13,33417.0,33417.0,2,"www.usj.edu",0.5212,0.7707,0.857,27000.0,14300.0,25800.0,56800.0,72200.0,0.868535,0.867327,0.838641,0.918605
"University of Saint Mary",39.2773,-94.9069,"Leavenworth",31,23170.0,23170.0,2,"www.stmary.edu",0.5303,0.7241,0.4707,24250.0,6800.0,17900.0,42400.0,53400.0,0.81039,0.798526,0.85274,0.882353
"University of San Diego",32.7714,-117.189,"San Diego",11,41392.0,41392.0,2,"www.sandiego.edu",0.7502,0.9021,0.4885,22500.0,10200.0,25000.0,61100.0,86300.0,0.912434,0.922648,0.931092,0.947896
"University of San Francisco",37.7756,-122.451,"San Francisco",11,40294.0,40294.0,2,"www.usfca.edu/",0.6901,0.8646,0.6129,25000.0,12700.0,27600.0,75500.0,110700.0,0.83827,0.872443,0.903857,0.917706
"University of Science and Arts of Oklahoma",35.0314,-97.9564,"Chickasha",32,4866.0,11298.0,1,"www.usao.edu",0.3788,0.6909,0.6246,19591.5,6200.0,15300.0,36200.0,50500.0,0.687657,0.743529,0.718284,0.749588
